page_link,canton,software_name,software_name_chatGPT,software_name_explanation,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic,page_content
https://av.tg.ch/themen/oeffentliches-rechnungswesen.html/13465,thurgau,ABACUS,ABACUS,"The page discusses the harmonized accounting model for school districts and mentions the EdIS-TG project, which involves the use of ABACUS software for financial management in schools",Yes,No,Yes,PDF,Finance and taxes,The page discusses public accounting and mentions the use of ABACUS software for financial management in schools.
https://www.sg.ch/bildung-sport/volksschule/sonderpaedagogik/fuehrung-und-finanzierung.html,st_gallen,Abrechnungs- und Präsenzerfassungs-Tool,Abrechnungs- und Präsenzerfassungs-Tool,"The page provides various documents and tools for the management of special education schools, including an ""Abrechnungs- und Präsenzerfassungs-Tool"" which is likely a tool for accounting and attendance tracking.",No,No,Yes,"PDF, XLSX, DOCX",Education,"The page provides various forms and documents for the management of special schools, including accounting and presence recording tools."
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis/aktuelle-meldungen,aargau,AGOBIS,AGOBIS,"The page provides updates on AGOBIS, including a new interface to the federal building and housing register and information on browser support.",Yes,No,Yes,PDF,E-governance and administration,"The page provides updates on AGOBIS, a software for the Canton of Aargau's land registry, including maintenance schedules and user guides."
https://www.ai.ch/themen/steuern,appenzell_inneroden,AI-Tax,AI-Tax,The page mentions AI-Tax software for tax declaration and provides links to various online services and forms related to tax matters.,No,No,Yes,Webpage,Finance and taxes,The page provides general information about taxation in the canton of Appenzell Innerrhoden and mentions AI-Tax Steuererklärungssoftware for tax filing.
https://www.ai.ch/themen/steuern/steuererklaerung-ausfuellen,appenzell_inneroden,AI-Tax,AI-Tax,The page provides guidance and a downloadable version of the AI-Tax software for filling out tax declarations.,No,No,Yes,Webpage,Finance and taxes,The page provides guidance on filling out tax returns in the canton of Appenzell Innerrhoden and mentions the use of AI-Tax software for this purpose.
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2019/Seiten/2019012801.aspx,graubunden,Alertswiss,Alertswiss,The page describes the annual siren tests in Switzerland and mentions the Alertswiss app for disaster preparedness.,No,No,Yes,App,Others,The page informs about the annual siren tests in Switzerland and mentions the Alertswiss app for disaster preparedness.
https://so.ch/staatskanzlei/publikationen/amtsblatt/eamtsblatt-infos-und-unterlagen-fuer-publizierende-stellen/,solothurn,Amtsblattportal,Amtsblattportal,The page provides information and guidelines for publishing official notices through the electronic official gazette portal managed by the State Secretariat for Economic Affairs (SECO).,No,No,Yes,PDF,E-governance and administration,The page provides information for publishing on the electronic bulletin board of the Canton of Solothurn and contains PDF guides.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/bildung-beschaeftigung/angebot,aargau,"AWS Skill Builder, AWS re/Start, AWS Discovery Days, Google Career Certificates, Google Atelier Digital, Salesforce Trailhead","AWS Skill Builder, AWS re/Start, AWS Discovery Days, Google Career Certificates, Google Atelier Digital, Salesforce Trailhead",The page provides information on various educational resources and programs for job seekers.,Yes,No,Yes,Webpage,Education,"The page offers resources for job seekers, including access to digital skills training platforms like AWS and Google Career Certificates."
https://klimawandel.gr.ch/de/was-tun/Seiten/20220610_Klima-Toolbox-Graub%C3%BCnden-f%C3%BCr-Gemeinden.aspx,graubunden,BAFU Online-Tool,"Klima-Toolbox Graubünden,BAFU Online-Tool","The page discusses the Klima-Toolbox Graubünden, a tool for municipalities to address climate change, and references an online tool developed by the Federal Office for the Environment (BAFU).",No,No,Yes,Video,"Environment, agriculture and natural resources","A tool for municipalities to assess and address climate change impacts, integrating local economic, population, and environmental data into a model for decision-making"
https://www.steuerverwaltung.bs.ch/steuererklaerung/natuerliche-personen/steuererklaerung_b/formulare.html,basel_stadt,BalTax,BalTax,The page provides information and access to the tax software BalTax.,Yes,No,Yes,Webpage,Finance and taxes,"The page provides tax forms and guidelines, including a mention of the Steuersoftware BalTax."
https://www.sta.be.ch/de/start/themen/wahlen-und-abstimmungen/infos-fuer-gemeinden.html,bern,BEWAS,BEWAS,"The page provides resources and support for municipalities regarding elections and voting, including training videos and instructions for the BEWAS software.",Yes,No,Yes,"Webpage, PDF, Video",E-governance and administration,"Provides information for municipalities on elections and voting, including software BEWAS."
https://www.ag.ch/de/themen/coronavirus/contact-tracing-center/ct-app,aargau,Contact Tracing App (CT App),Contact Tracing App (CT App),The page provides information about the Contact Tracing App (CT App) used by the Canton of Aargau for monitoring and supporting individuals with COVID-19 or those in quarantine.,Yes,Yes,No,Webpage,Health,Discusses a Contact Tracing App for Covid-19 management in the Kanton Aargau.
