page_link,canton,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic,page_content
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/bildung-beschaeftigung/angebot,aargau,Yes,No,Yes,Webpage,Education,"The page offers resources for job seekers, including access to digital skills training platforms like AWS and Google Career Certificates."
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/formulare-informationen/kommanditgesellschaft,aargau,No,No,Yes,PDF,Legal services and conformity,Provides forms and information for registering a Kommanditgesellschaft in Kanton Aargau.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/allgemeine-informationen,aargau,No,No,Yes,PDF,Legal services and conformity,"Provides general information about the Handelsregister in Kanton Aargau, including UID numbers and warnings about fraudulent activities."
https://www.ag.ch/de/verwaltung/dvi/strassenverkehr/koerperbehinderung-verkehrsmedizin/arztpersonen/qualitaetssicherung-emedko,aargau,Yes,Yes,Yes,PDF,Health,"The page discusses the electronic application ""emedko"" used for periodic medical examinations related to driving fitness."
https://www.ag.ch/de/verwaltung/dvi/kantonspolizei/praevention/cybercrime,aargau,Yes,Yes,Yes,PDF,Communication and collaboration,"Provides information on cybercrime prevention, including phishing, hacking, and malware, along with downloadable guides."
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/oereb-kataster,aargau,No,Yes,Yes,PDF,"Maps, infrastructures and territorial planning",Provides information on land property and offers PDF guides for using the ÖREB-Client and OEREBlex software.
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/egvt/hinweise-banken,aargau,Yes,No,Yes,Webpage,Finance and taxes,"Discusses electronic business transactions (eGVT) for banks, including technical and procedural aspects."
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis/aktuelle-meldungen,aargau,Yes,No,Yes,PDF,E-governance and administration,"The page provides updates on AGOBIS, a software for the Canton of Aargau's land registry, including maintenance schedules and user guides."
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis,aargau,Yes,Yes,Yes,PDF,E-governance and administration,"Provides information on AGOBIS, a land and object information system, including login procedures and user guides."
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/fachstelle-datenaustausch/aargauischen-grundstueck-und-objektinformationssystem-(agobis),aargau,Yes,Yes,Yes,PDF,E-governance and administration,"The page discusses the AGOBIS system and Geres Message Viewer (GMV) software, used for property and object information management in the Canton of Aargau."
https://www.ag.ch/de/verwaltung/dgs/gesundheit/gesundheitsversorgung/restkostenfinanzierung/stationaer/elektronische-abrechnung,aargau,Yes,Yes,Yes,PDF,Health,"Discusses electronic billing for healthcare providers, including the use of Excel and PDF files for invoicing."
