page_link;explanation;software_name
https://zg.ch/de/steuern-finanzen/steuern/natuerliche-personen/steuererklaerung-ausfuellen;The page provides instructions for using the eTax.zug software to electronically file tax returns.;eTax.zug
https://zg.ch/de/steuern-finanzen/steuern/juristische-personen/steuererklaerung-ausfuellen;The page provides instructions for using the eTax.zug software for legal entities to file tax returns electronically or in printed form.;eTax.zug
https://zg.ch/de/natur-umwelt-tiere/wald/bauen-im-und-am-wald;The page provides information on regulations and procedures for construction in and around forest areas but does not mention any specific software for instructions.;
https://zg.ch/de/wirtschaft-arbeit/handelsregister/neueintragung/elektronischer-geschaeftsverkehr;The page provides instructions for electronically submitting documents to the Handelsregisteramt using a qualified electronic signature and mentions the Open eGov LocalSigner software for this purpose.;Open eGov LocalSigner
https://zg.ch/de/planen-bauen/geoinformation/oereb-kataster/anleitung-fuer-benutzungen;The page provides a user manual for the ÖREB-Cadastre within the ZugMap.ch platform.;ÖREB-Cadastre,ZugMap.ch
https://zg.ch/de/news/news~_2021_11_Neues-Online-Portal-fuer-Lotteriefonds--und-Sportfonds-Gesuche-lanciert~;The page announces the launch of a new online portal for applications to the lottery and sports funds, developed by Ascaion AG.;Online-Gesuchsportal (developed by Ascaion AG)
https://zg.ch/de/planen-bauen/geoinformation/geoinformationen-erklaert/faq;The page contains frequently asked questions about the use of ZugMap.ch, including instructions for its operation.;ZugMap.ch
https://zg.ch/de/news/news~_2020-ZUPO_8_194---Kanton-Zug--Bei-Anruf-Betrug~;The page is a media release warning about a phone scam leading to fraudulent emails that attempt to steal banking login information. It does not provide instructions for any software.;
https://zg.ch/de/bildung/schulen/gemeindliche-schulen/unterricht/fachgruppen;The page does not provide instructions for any software.;
https://zg.ch/de/steuern-finanzen/steuern/steuererklaerung-hilfe;The page provides guidance on how to electronically submit tax returns using the eTax.zug software for both natural and legal persons.;eTax.zug
https://zg.ch/de/planen-bauen/geoinformation/geoinformationen-nutzen/interaktive-karten-zum-klicken;The page provides instructions and functionalities for using the ZugMap.ch platform, which offers interactive maps and geoinformation services.;ZugMap.ch
https://zg.ch/de/planen-bauen/grundbuch/dienstbarkeiten/dienstbarkeitsplan;The page provides information on creating a servitude plan using the ZugMap.ch platform, which is necessary for the registration of certain rights in the land registry.;ZugMap.ch
