page_link,software_name,software_name_chatGPT,canton,software_name_explanation,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic,page_content,Main Content Elements,Search Function,Images,Immediate Feedback Mechanisms,Animations,Multimedia Elements,Hyperlinks,Navigation Menu,Structured Contents,Interactive Elements,Accessibility Issues
https://www.ow.ch/_rte/publikation/31438,"ABACUS, CleverTax","ABACUS, CleverTax",obwalden,The page provides a guide for exporting E-Bilanz CH from ABACUS for import into CleverTax.,Yes,No,Yes,PDF,Finance and taxes,The page offers a downloadable PDF guide for exporting E-Balance CH from ABACUS software for import into CleverTax.,4,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,1,5
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/fachstelle-datenaustausch/aargauischen-grundstueck-und-objektinformationssystem-(agobis),"AGOBIS,GMV (Geres Message Viewer)","AGOBIS,GMV (Geres Message Viewer)",aargau,The page elaborates on how AGOBIS and GMV (Geres Message Viewer) are used for handling land registry data and messages.,Yes,No,Yes,PDF,E-governance and administration,"The page discusses the AGOBIS system and Geres Message Viewer (GMV) software, used for property and object information management in the Canton of Aargau.",3,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,0,3
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis,"AGOBIS,GMV (Geres Message Viewer)","AGOBIS,GMV (Geres Message Viewer)",aargau,"The page provides information on how to access and navigate the AGOBIS system, which is used for handling land registry data.",Yes,Yes,Yes,PDF,E-governance and administration,"Provides information on AGOBIS, a land and object information system, including login procedures and user guides.",5,TRUE,2,FALSE,0,0,TRUE,TRUE,TRUE,1,4
https://www.ur.ch/_rte/publikation/18949,AgriGIS,AgriGIS,uri,The page offers instructional videos for the AgriGIS application.,Yes,Yes,No,Video,"Environment, agriculture and natural resources","The page provides video tutorials for AgriGIS, a software related to agriculture.",2,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,2,5
https://www.ur.ch/_rte/publikation/18961,AgriGIS,AgriGIS,uri,The page contains a guide for the AgriGIS application.,Yes,No,Yes,PDF,"Environment, agriculture and natural resources","The page provides a PDF guide for AgriGIS, a software related to agriculture.",2,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,3,5
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/direktzahlungen-beitraege/datenerhebung-termine/agrigis,AgriGIS,"agriGIS, Agate, AgriPortal",aargau,The page provides detailed information and guides on how to use agriGIS for data collection in agriculture.,Yes,No,Yes,"PDF, Video","Environment, agriculture and natural resources","The page provides comprehensive guides and tutorials on how to use agriGIS, a software for calculating and disbursing direct payments in agriculture.",2,TRUE,1,FALSE,0,9,TRUE,TRUE,TRUE,0,3
https://www.ai.ch/themen/steuern/ai-tax-software,AI-Tax,AI-Tax,appenzell_inneroden,"The page serves as a hub for various topics related to AI-Tax software, including updates and support.",Yes,Yes,Yes,Webpage,Finance and taxes,"The page provides detailed information about AI-Tax, a tax filing software for the canton of Appenzell Innerrhoden, including its features and download links for various platforms.",1,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,0,9
https://www.ai.ch/themen/steuern/ai-tax-software/ai-tax-2022-software-aktualisieren,AI-Tax,AI-Tax,appenzell_inneroden,The page informs users about the need to update the AI-Tax 2022 software due to a system change in June.,Yes,Yes,Yes,Webpage,Finance and taxes,The page provides instructions for updating the AI-Tax 2022 software due to a system change in June.,1,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,0,9
https://www.ai.ch/themen/steuern/ai-tax-software/ai-tax-steuererklaerung-software-fuer-natuerliche-personen,AI-Tax,AI-Tax,appenzell_inneroden,"The page provides information on AI-Tax, a tax declaration software for individuals in the canton of Appenzell Innerrhoden.",Yes,Yes,Yes,Webpage,Finance and taxes,"The page offers information on using AI-Tax for individual tax filing in the canton of Appenzell Innerrhoden, including system requirements and support details.",1,TRUE,0,FALSE,0,0,TRUE,TRUE,TRUE,0,9
https://ar.ch/verwaltung/departement-bildung-und-kultur/amt-fuer-volksschule-und-sport/abteilung-regelpaedagogik/lernmedien/kurzanleitung-digitale-lehrmittel/,"Antolin, Die Sprachstarken, dis donc!, edulog, Leseschlau, Typewriter, Young World","Antolin, Die Sprachstarken, dis donc!, edulog, Leseschlau, Typewriter, Young World",appenzell_ausserroden,"The page lists various digital teaching materials and software such as Antolin, Die Sprachstarken, dis donc!, edulog, Leseschlau, Typewriter, and Young World.",Yes,No,Yes,Webpage,Education,The page provides a short guide on digital teaching materials for schools.,2,FALSE,0,FALSE,0,0,TRUE,TRUE,TRUE,0,6
