page_link,guide_format,doc_links,page_is_software_guide,page_contains_software_guide,software_name,guide_topic,canton,software_name_chatGPT,software_name_explanation,page_content,Main Content Elements,Search Function,Images,number_of_pages,Multimedia Elements,Hyperlinks,Navigation Menu,Interactive Elements,Accessibility Issues,Content Length,Instructions Divided into Sections,a Table of Contents,a FAQ Section,a Glossary,an Introduction Section,Installation Instructions,Multilingual Support,Low-frequency Jargon,Tables,Lists/Enumerations,an Instructive Example,Feedback Mechanisms
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Benutzerhandbuch%20STADA2.pdf,PDF,,Yes,N/A,"STADA, STADA2",Statistics and data analysis,st_gallen,"STADA, STADA2",N/A,N/A,1,False,7,5,0,True,False,0,2,978,True,False,False,False,False,True,False,21,3,0,True,False
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_652600961.ocFile/StatistikAufKnopfdruck.pdf,PDF,,Yes,N/A,"STADA, STADA2",Statistics and data analysis,st_gallen,"STADA, STADA2",N/A,N/A,1,False,6,1,0,False,False,0,2,582,False,False,False,False,False,False,False,15,1,0,True,False
https://www.fr.ch/sites/default/files/2018-08/Erfassen%20der%20Rechnung%20xy%20in%20EDISES.pdf,PDF,,Yes,N/A,"EDISES, OLMIS",Social and public security,freiburg,"EDISES, OLMIS",N/A,N/A,1,False,4,4,0,False,False,0,2,534,True,True,False,False,False,False,False,20,0,13,True,False
https://www.fr.ch/sites/default/files/2019-02/EDISES%20Benutzerhandbuch%20DE%20V15_ISES.pdf,PDF,,Yes,N/A,"EDISES, OLMIS",Social and public security,freiburg,"EDISES, OLMIS",N/A,N/A,1,False,66,35,0,True,False,0,1,4468,True,True,False,False,False,False,False,57,25,27,True,False
https://www.fr.ch/sites/default/files/2018-08/Benutzer-Schulung.pdf,PDF,,Yes,N/A,"EDISES, OLMIS",Social and public security,freiburg,"EDISES, OLMIS",N/A,N/A,1,False,231,60,0,False,False,0,1,2598,True,True,False,False,True,False,False,57,52,2,True,False
https://www.gsi.be.ch/content/dam/gsi/dokumente-bilder/de/themen/soziales/behinderung/blg/berner-modell/Anleitung_Lohnprogramm.pdf,PDF,,Yes,N/A,AssistMe,Social and public security,bern,AssistMe,N/A,N/A,1,False,42,15,0,True,False,0,2,3156,True,True,False,False,False,False,False,78,7,79,True,False
https://www.polizei.bs.ch/dam/jcr:deda4df4-5223-43a2-a9c1-adceb5a7a716/Benutzerhandbuch_V1.5.1.pdf,PDF,,Yes,N/A,ParkingApp,Others,basel_stadt,,N/A,N/A,1,False,124,28,0,False,False,0,1,2661,False,True,False,False,False,True,False,58,32,8,True,False
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Daten%C3%BCberpr%C3%BCfung.pdf,PDF,,Yes,N/A,find-help GR,Social and public security,graubunden,,N/A,N/A,1,False,17,3,0,False,False,0,1,468,True,True,False,False,False,False,False,6,0,0,True,False
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Factsheet%20Einbindung%20Suchmaske%20auf%20Ihrer%20Webseite.pdf,PDF,,Yes,N/A,find-help GR,Social and public security,graubunden,,N/A,N/A,1,False,7,2,0,True,False,0,2,410,True,False,False,False,False,False,False,11,0,3,True,False
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Suchfunktion_DE.pdf,PDF,,Yes,N/A,find-help GR,Social and public security,graubunden,,N/A,N/A,1,False,10,2,0,False,False,0,2,242,True,False,False,False,False,False,False,2,0,0,True,False
