page_link,page_is_about_software,page_is_software_guide,page_contains_software_guide,type_of_software_guide,page_content,canton
https://www.zh.ch/de/steuern-finanzen/steuern/quellensteuer/quellensteuer-tarife.html,No,No,No,,"The page provides information about withholding tax rates in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/umwelt-tiere/naturschutz/biodiversitaetsfoerderung/projekte/naturschutz-projekte/flora-2021.html,No,No,No,,"The page describes a project for the conservation of endangered plant species in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/umwelt-tiere/umweltschutz/gebietsfremde-arten.html,No,No,No,,"The page provides information about non-native species in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/migration-integration/integration/integrationsagenda/akkreditierung-von-foerdermassnahmen/reakkreditierung-jobcoaching.html,No,No,No,,"The page is not accessible, and a 404 error is displayed.",zurich
https://www.zh.ch/de/planen-bauen/bauvorschriften/bauvorschriften-abwasser-versickerung/bauvorschriften-versickerung.html,No,No,No,,"The page outlines the regulations for the seepage of rainwater in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/umwelt-tiere/umweltschutz/umweltbericht/umweltbericht-wasser.html,No,No,No,,"The page provides an environmental report on water in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/planen-bauen/bauvorschriften/bauvorschriften-gebaeude-energie/energienachweise.html,No,No,No,,"The page provides information on energy certificates in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/gerichte-notariate/verwaltungsgericht/informatinsbestaende.html,No,No,No,,"The page details the information holdings of the Administrative Court of the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/wirtschaft-arbeit/wirtschaftliche-landesversorgung/notvorrat/lebensmittel.html,No,No,No,,"The page provides information on emergency food supplies in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/bildungsdirektion/generalsekretariat-der-bildungsdirektion/bildungsrat/suche-bildungsratsbeschluesse/2005-brb-8-volksschule-generalisierung-von-medien-und-ict-an-der-primars.html,Yes,No,No,,"The page discusses the integration of media and information and communication technology (ICT) in primary schools in the Canton of Zurich, Switzerland.",zurich
https://www.zh.ch/de/politik-staat/kanton/kantonale-verwaltung/digitale-verwaltung/zusammenarbeit-vernetzung.html,Yes,No,No,,"The page discusses the digital transformation within the cantonal administration of Zurich, emphasizing the need for increased networking and collaboration.",zurich
https://www.zh.ch/de/migration-integration/integration/integrationsagenda/online-handbuch-iazh/finanzierung-reporting.html,No,No,No,,"The page details the financing and reporting procedures related to the integration of asylum seekers, temporarily admitted persons, and refugees in the Canton of Zurich.",zurich
https://www.zh.ch/de/umwelt-tiere/umweltschutz/umweltpraxis/definitionsseite/2000/25/zup025_2000_a0040_boden-pdf.html,No,No,No,,"The page provides a downloadable PDF titled ""Erosionsschätzschlüssel für den Kanton Zürich - Bodenerosion im Ackerbau: Massnahmen gezielt planen,"" authored by Alexander Lehmann.",zurich
https://www.zh.ch/de/umwelt-tiere/laerm-schall/planen-bauen-laerm.html,No,No,No,,"The page focuses on noise control during planning and construction, emphasizing societal responsibility and the importance of proper noise protection.",zurich
https://www.zh.ch/de/familie/ergaenzende-hilfen-zur-erziehung/gesuch-um-rueckforderung-von-versorgertaxen.html,No,No,No,,"The page provides information on how municipalities in the Canton of Zurich can apply for the reimbursement of ""Versorgertaxen"" (care taxes) for child and youth home care services.",zurich
https://www.zh.ch/de/bildung/informationen-fuer-schulen/informationen-volksschule/volksschule-fuehrung/volksschule-kantonales-kommunales-personal.html,No,No,No,,"The page is not accessible, and a 404 error is displayed.",zurich
https://www.zh.ch/de/umwelt-tiere/umweltschutz/gebietsfremde-arten/gebietsfremde-arten-private/aquatische-neobiota-als-unbemerkte-fracht.html,No,No,No,,"The page titled ""Vorsicht blinde Passagiere"" discusses the issue of invasive aquatic species in the Canton of Zurich.",zurich
https://www.zh.ch/de/gesundheit/spitaeler-kliniken/spitalplanung.html,Yes,Yes (software guide),No,Software,"The page titled ""Aktuelle Spitalplanung"" provides information on hospital planning in the Canton of Zurich, including details on acute care, psychiatry, rehabilitation, and specific requirements for hospitals.",zurich
https://www.zh.ch/de/politik-staat/gesetze-beschluesse/beschluesse-des-regierungsrates/rrb/regierungsratsbeschluss-1024-2022.html,Yes,No,No,,"The page details a government resolution regarding the extension of the usage rights for the software ""Agricola"" until the end of 2025.",zurich
https://www.zh.ch/de/finanzdirektion/kdmz/beschaffung-material.html,Yes,No,No,,"The page discusses the procurement of office and cleaning materials, including the support for the procurement of hardware and software through framework agreements with suppliers.",zurich
https://www.zh.ch/de/mobilitaet/fussverkehr/kommunale-fusswegnetzplanung.html,No,No,No,,"The page provides information on municipal pedestrian network planning, including requirements, guidelines, and contacts for pedestrian traffic planning in the Canton of Zürich.",zurich
https://www.zh.ch/de/politik-staat/teilhabe.html,No,No,No,,"The page focuses on the concept of participation within the Canton of Zürich, discussing various programs and initiatives aimed at fostering active involvement of diverse individuals in public life.",zurich
https://www.zh.ch/de/wirtschaft-arbeit/stellensuche-arbeitslosigkeit/beratung-vermittlung/interinstitutionelle-zusammenarbeit/personen-anmeldung-faelle-bearbeiten.html,No,No,No,,"The page provides instructions on how to register and manage cases in the context of inter-institutional collaboration (IIZ) in the Canton of Zürich, including details on data protection and contact information for support.",zurich
