page_link;explanation;software_name
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/bildung-beschaeftigung/angebot;The page provides information on various educational resources and programs for job seekers.;AWS Skill Builder, AWS re/Start, AWS Discovery Days, Google Career Certificates, Google Atelier Digital, Salesforce Trailhead
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/formulare-informationen/kommanditgesellschaft;The page offers downloadable forms and guidelines for the registration, modification, and dissolution of a Kommanditgesellschaft (limited partnership).;
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/allgemeine-informationen;The page provides general information about the commercial registry, including changes in legislation and warnings about fraudulent activities.;
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/egvt/hinweise-banken;The page provides guidance for banks on using the electronic transaction system eGVT with Terravis.;SIX Terravis
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis/aktuelle-meldungen;The page provides updates on AGOBIS, including a new interface to the federal building and housing register and information on browser support.;AGOBIS
https://www.ag.ch/de/verwaltung/dgs/gesundheit/gesundheitsversorgung/restkostenfinanzierung/ambulant/elektronische-abrechnung;The page details the process for electronic billing through the cantonal clearinghouse, including registration, patient data reporting, and invoice data entry.;
https://www.ag.ch/de/verwaltung/dfr/statistik/erhebungen/bildungsstatistik/step-i-sonderschulen;The page provides instructions for special schools on how to enter data into the STEP I 2023 survey regarding the future educational paths of their students.;n-STEP
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/direktzahlungen-beitraege/datenerhebung-termine/kommunale-erhebungsstelle;The page describes the role of the Kommunale Erhebungsstelle Landwirtschaft (KEL) in collecting agricultural structural data and assisting with electronic data collection via the Agriportal.;Agriportal
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/abwasser/siedlungsentwaesserung;The page provides comprehensive guidelines, instructions, and tools related to urban drainage, including chapters on data processing and the use of simulation programs.;GEP-AGIS
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/strasseninfrastruktur/newsletter/beilagen-newsletter;The page contains newsletters with various attachments that include information on infrastructure projects, regulations, and innovations such as Building Information Modeling (BIM).;Building Information Modeling (BIM)
https://www.ag.ch/de/ueber-uns/jobs-karriere/arbeiten-beim-kanton-aargau/berufslehre-mittelschulpraktika?dc=367db75d-97cd-4741-8ff9-68aa2ce739a7_de;The page provides information about the apprenticeship for computer science professionals, detailing the learning process and career opportunities post-apprenticeship.;
https://www.ag.ch/de/themen/coronavirus/contact-tracing-center/ct-app;The page provides information about the Contact Tracing App (CT App) used by the Canton of Aargau for monitoring and supporting individuals with COVID-19 or those in quarantine.;Contact Tracing App (CT App)
https://www.ag.ch/de/smartserviceportal/dienstleistungen?dl=eplanung-portal-04a090a7-1305-47be-bec6-ac83e4607b59_de;The page is about the ePlanung Portal, which is used for electronic planning processes within the Canton of Aargau, providing a guided process for users with necessary documentation and instructional videos.;ePlanung Portal
https://www.ag.ch/de/aktuell/anhoerungen-vernehmlassungen/eanhoerungen;"The page describes the eAnhörungen project, which digitalizes the public consultation process in the Canton of Aargau, integrating it into the ""Mein Konto"" platform for online services.";eAnhörungen
