page_link,guide_format,doc_links,page_is_software_guide,page_contains_software_guide,software_name,guide_topic,canton,software_name_chatGPT,software_name_explanation,page_content,Main Content Elements,Search Function,Images,Feedback Mechanisms,Multilingual Support,Low-frequency Jargon,Multimedia Elements,Hyperlinks,Navigation Menu,Interactive Elements,Accessibility Issues,Content Length,Instructions Divided into Sections,Tables,Lists/Enumerations,a Table of Contents,a FAQ Section,a Glossary,an Introduction Section,Installation Instructions,an Instructive Example
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken.html,PDF,"https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Benutzerhandbuch%20STADA2.pdf
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_652600961.ocFile/StatistikAufKnopfdruck.pdf",Yes,Yes,"STADA, STADA2",Statistics and data analysis,st_gallen,"STADA, STADA2","The page discusses two statistical databases, STADA and STADA2, which allow for detailed analysis and presentation of statistical data.","The page provides access to two statistical databases, STADA and STADA2, along with user manuals.",1,True,0,False,False,2,0,True,True,3,5,60,True,0,1,False,False,False,False,False,False
https://www.hbav.dij.be.ch/de/start/hb-fachthemen/verifikation/standardverifikation-phase-b3.html,Webpage,,Yes,No,VeriSO,Statistics and data analysis,bern,"Check-Service, VeriSO",The page outlines the process and criteria for the standard verification phase B3 in land surveying and mapping.,"The page discusses the standard verification process for geospatial data, mentioning specific software tools like VeriSO.",2,True,0,False,True,91,0,True,True,1,5,1281,True,0,31,True,False,False,False,False,False
https://www.zh.ch/de/mobilitaet/fuehrerausweis-fahren-lernen/verkehrsmedizin/fahreignungsabklaerung.html,Video,,Yes,No,Fahreignungsabklärung,Social and public security,zurich,,,"The page provides information on how to apply for a traffic medical or psychological assessment in Zurich, including details on the process, costs, and requirements.",3,True,1,True,False,9,2,True,True,4,5,589,True,0,0,True,False,False,False,False,True
https://www.sozialhilfe.bs.ch/ueber-uns/Digitaler-Briefkasten/Anleitung-Digitaler-Briefkasten.html,Webpage,,Yes,No,Digitaler Briefkasten,Social and public security,basel_stadt,Digitaler Briefkasten,The page provides instructions on how to use the digital mailbox service offered by Sozialhilfe Kanton Basel-Stadt.,The page provides a guide on how to use a digital mailbox for securely transmitting files to the Social Welfare Office in Basel-Stadt.,2,True,0,False,True,5,0,True,False,0,3,532,True,0,7,False,False,False,False,False,False
https://www.awa.bs.ch/stellensuche-arbeitslosigkeit/jobroom-und-eservices.html,Webpage,,Yes,No,"eServices, Jobroom",Social and public security,basel_stadt,"eServices, Jobroom","The page provides information on how job seekers and employers can use eServices and Jobroom for various employment-related tasks, including submitting documents and activating unemployment benefits.",Discusses how to use eServices and Jobroom for job search and unemployment benefits.,2,True,1,False,True,9,1,True,False,0,3,378,True,0,13,False,False,False,False,False,True
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Seiten/find-help-GR.aspx,PDF,"https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Daten%C3%BCberpr%C3%BCfung.pdf
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Factsheet%20Einbindung%20Suchmaske%20auf%20Ihrer%20Webseite.pdf
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Suchfunktion_DE.pdf",Yes,Yes,find-help GR,Social and public security,graubunden,,,Information about find-help GR,2,True,1,False,True,6,1,True,True,0,3,236,True,0,1,False,False,False,False,False,True
https://www.kaio.fin.be.ch/de/start/dienstleistungen/applikationen/digitale-post-aus-der-kantonsverwaltung/verschiedene-moeglichkeiten-zum-login.html,"Video, Webpage",,Yes,No,ePost,Others,bern,,,Page explains different login methods for digital post from the cantonal administration.,2,False,7,False,True,5,0,True,True,1,3,251,True,0,0,True,False,False,False,True,True
https://www.kaio.fin.be.ch/de/start/dienstleistungen/applikationen/digitale-post-aus-der-kantonsverwaltung.html,"Video, Webpage",,Yes,No,ePost,Others,bern,,,Page about digital post services from the cantonal administration.,15,False,0,False,True,11,1,True,True,14,3,920,True,0,0,True,False,False,False,True,True
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-.html,"Video, Webpage",,Yes,No,Zwei-Faktor-Authentifizierung (2FA),Social and public security,bern,,,Information about two-factor authentication at the workplace.,28,True,28,False,True,15,2,True,True,27,7,1948,True,0,1,True,True,False,False,True,True
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit.html,Webpage,"https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-infografiken-und-visualisierungen.zhweb-noredirect.zhweb-cache.html?node-id=21442%3A184215&node-id=21330%3A183551&node-id=21297%3A183984
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-videos.html
https://www.w3.org/TR/WCAG21/
https://www.w3.org/WAI/WCAG22/quickref/?versions=2.1#top
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/inhalte-gestalten/informationen-bereitstellen/umgang-mit-bildern-und-videos.html
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bild.zhweb-noredirect.zhweb-cache.html?node-id=21161%3A184400&node-id=18660%3A173203
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bildergalerie.zhweb-noredirect.zhweb-cache.html?node-id=18660%3A174760
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/iframe.zhweb-noredirect.zhweb-cache.html?node-id=18369%3A176818",Yes,Yes,Vorgaben zur Barrierefreiheit,Others,zurich,,,"Guidelines and standards for ensuring accessibility (barrierefrei) in web content and applications, including requirements for texts, tables, images, PDFs, videos, and more, according to international standards WCAG 2.1 and CH-0059 Accessibility Standard.",4,True,0,False,False,21,0,True,True,1,4,1410,True,0,5,True,False,False,False,False,False
