page_link;explanation;software_name
https://www.sg.ch/wirtschaft-arbeit/pki/IAM.html;The page provides instructions for using IAM with a PKI card.;IAM
https://www.sg.ch/wirtschaft-arbeit/pki/hinweise-fuer-gemeinden-kantonsspital.html;The page provides guidance for municipalities and hospital employees on using PKI cards and related software.;EJPD SSO-Portal, ASTRA, INFOSTAR, ZEMIS, CardOS
https://www.sg.ch/wirtschaft-arbeit/Etiketto-Mat.html;The page describes the Etiketto-Mat, an Excel-based tool for creating labels, and provides information on how to order it.;Etiketto-Mat
https://www.sg.ch/umwelt-natur/landwirtschaft/lzsg/Beratung/Landtechnik/smart-farming/tierhaltung/schwein/administration-schwein.html;The page discusses software solutions for pig farm management, including herd management and financial analysis.;Reprojournal, SuisDataManager, UFA2000, Pimatec - Martha Software, Livestock Mast
https://www.sg.ch/umwelt-natur/landwirtschaft/lzsg/Beratung/Landtechnik/smart-farming/pflanzenbau/feldkalender.html;The page provides an overview of electronic field calendar software for agricultural management and lists various providers.;AgLeader, Barto, Farmtune, MyJohnDeere, agricircle, eFeldkalender, Hallauer ÖLN, Agraroffice, agro tech, Farmdok, IPS APP Feldkalender, xFarm, Agroplus, Farmsolution, Isagri Geofolia
https://www.sg.ch/steuern-finanzen/steuern/elektronische-steuererklaerung/etaxes-privatpersonen/Support.html;The page offers support for eTaxes, detailing FAQs and guidance for downloading, installing, and troubleshooting the software.;eTaxes
https://www.sg.ch/steuern-finanzen/steuern/elektronische-steuererklaerung/etaxes-privatpersonen/eFiling.html;The page details the eFiling process for tax declarations, which is fully digital and can be done using eTaxes software and the oBeam smartphone app.;eTaxes, oBeam
https://www.sg.ch/steuern-finanzen/steuern/elektronische-steuererklaerung/etaxes-juristische-personen/fragen-antworten-etaxes-unternehmen.html;The page provides a FAQ section for eTaxes software used by companies, addressing system requirements, installation, and other technical queries.;eTaxes
https://www.sg.ch/recht/handelsregister-notariate/handelsregister/online-schalter.html;The page provides instructions for submitting documents to the commercial register online, requiring a qualified electronic signature and the use of LocalSigner.;LocalSigner
https://www.sg.ch/politik-verwaltung/abstimmungen-wahlen/e-voting/anmeldeverfahren.html;The page outlines the registration process for e-voting in the canton of St.Gallen, including a step-by-step guide and the necessary prerequisites.;E-Voting System
https://www.sg.ch/bildung-sport/volksschule/aus-dem-amt/projekte/it-strategie/umsetzung.html;"The page details the implementation of the eGovernment Service ""PUPIL@SG"" for school administration, daily school life, parent communication, and optional day structures and music school, replacing LehrerOffice and Abraxas school administration solutions.";PUPIL@SG
https://www.sg.ch/bauen/geoinformation/gi/geodienste/einbindung.html;The page provides instructions for integrating the geoservices of the Canton of St.Gallen into various GIS systems such as ESRI ArcMap, ArcGIS Pro, ArcGIS Earth, QGIS, and GeoMedia Desktop.;ESRI ArcMap, ArcGIS Pro, ArcGIS Earth, QGIS, GeoMedia Desktop
