page_link,guide_format,doc_links,page_is_software_guide,page_contains_software_guide,software_name,guide_topic,canton,software_name_chatGPT,software_name_explanation,page_content
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken.html,PDF,"https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Benutzerhandbuch%20STADA2.pdf
https://www.sg.ch/ueber-den-kanton-st-gallen/statistik/statistikdatenbanken/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_652600961.ocFile/StatistikAufKnopfdruck.pdf",Yes,Yes,"STADA, STADA2",Statistics and data analysis,st_gallen,"STADA, STADA2","The page discusses two statistical databases, STADA and STADA2, which allow for detailed analysis and presentation of statistical data.","The page provides access to two statistical databases, STADA and STADA2, along with user manuals."
https://www.hbav.dij.be.ch/de/start/hb-fachthemen/verifikation/standardverifikation-phase-b3.html,Webpage,,Yes,No,VeriSO,Statistics and data analysis,bern,"Check-Service, VeriSO",The page outlines the process and criteria for the standard verification phase B3 in land surveying and mapping.,"The page discusses the standard verification process for geospatial data, mentioning specific software tools like VeriSO."
https://www.fr.ch/de/alltag/vorgehen-und-dokumente/sonder-und-sozialpaedagogische-institutionen-des-kantons-freiburg-dokumente,PDF,"https://www.fr.ch/sites/default/files/2018-08/Erfassen%20der%20Rechnung%20xy%20in%20EDISES.pdf
https://www.fr.ch/sites/default/files/2019-02/EDISES%20Benutzerhandbuch%20DE%20V15_ISES.pdf
https://www.fr.ch/sites/default/files/2018-08/Benutzer-Schulung.pdf",No,Yes,"EDISES, OLMIS",Social and public security,freiburg,"EDISES, OLMIS",The page provides various documents and guidelines for special and social pedagogical institutions in the Canton of Fribourg. It mentions software like EDISES and OLMIS for specific administrative and operational tasks.,"The page provides various documents and guidelines for special and social pedagogical institutions, including user manuals for EDISES and OLMIS software."
https://awa.tg.ch/ueber-unsii/kontakt/arbeitsmarktbeobachtungen.html/10009,PDF,https://awa.tg.ch/public/upload/assets/84044/Anleitung%20bei%20elektronischer%20Einreichung%20von%20Unterlagen.pdf?fp=1,No,Yes,p4u.ch/awa,Social and public security,thurgau,,The page provides instructions and forms for electronically submitting documents related to labor market observations,The page provides information on labor market observations and offers forms for electronic submission.
https://www.gsi.be.ch/de/start/themen/soziales/behinderung/blg/berner-modell.html,"PDF, Video","https://www.gsi.be.ch/content/dam/gsi/dokumente-bilder/de/themen/soziales/behinderung/blg/berner-modell/Anleitung_Lohnprogramm.pdf
https://www.youtube.com/watch?v=KM1f2IEyRBk
https://www.youtube.com/watch?v=CHJZbgZ-Mjs
https://www.youtube.com/watch?v=D8PWlKm9Ago
https://www.youtube.com/watch?v=SBUg6_KWN2w",No,Yes,AssistMe,Social and public security,bern,AssistMe,"The page provides information about the Berner Modell, a system for supporting people with disabilities.","Discusses the ""AssistMe"" web-based application for handling individual support needs for people with disabilities in the Canton of Bern."
https://www.zh.ch/de/mobilitaet/fuehrerausweis-fahren-lernen/verkehrsmedizin/fahreignungsabklaerung.html,Video,,Yes,No,Fahreignungsabklärung,Social and public security,zurich,,,"The page provides information on how to apply for a traffic medical or psychological assessment in Zurich, including details on the process, costs, and requirements."
https://www.sozialhilfe.bs.ch/ueber-uns/Digitaler-Briefkasten/Anleitung-Digitaler-Briefkasten.html,Webpage,,Yes,No,Digitaler Briefkasten,Social and public security,basel_stadt,Digitaler Briefkasten,The page provides instructions on how to use the digital mailbox service offered by Sozialhilfe Kanton Basel-Stadt.,The page provides a guide on how to use a digital mailbox for securely transmitting files to the Social Welfare Office in Basel-Stadt.
https://www.awa.bs.ch/stellensuche-arbeitslosigkeit/jobroom-und-eservices.html,Webpage,,Yes,No,"eServices, Jobroom",Social and public security,basel_stadt,"eServices, Jobroom","The page provides information on how job seekers and employers can use eServices and Jobroom for various employment-related tasks, including submitting documents and activating unemployment benefits.",Discusses how to use eServices and Jobroom for job search and unemployment benefits.
https://www.polizei.bs.ch/verkehr/strassenverkehr/parkieren/parksmart-basel/kontakt.html,PDF,https://www.polizei.bs.ch/dam/jcr:deda4df4-5223-43a2-a9c1-adceb5a7a716/Benutzerhandbuch_V1.5.1.pdf,No,Yes,ParkingApp,Others,basel_stadt,,,Provides support for the ParkingApp.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Seiten/find-help-GR.aspx,PDF,"https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Daten%C3%BCberpr%C3%BCfung.pdf
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Factsheet%20Einbindung%20Suchmaske%20auf%20Ihrer%20Webseite.pdf
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Documents/Anleitung%20Suchfunktion_DE.pdf",Yes,Yes,find-help GR,Social and public security,graubunden,,,Information about find-help GR
https://so.ch/verwaltung/volkswirtschaftsdepartement/amt-fuer-wald-jagd-und-fischerei/fischerei/aktuell/aktuell/news/angelpatente-2023-bestellen-via-webshop-efj2/,PDF,"https://so.ch/fileadmin/internet/vwd/vwd-awjf-jagd/pdf/Fischerei/Anleitung_Registrierung_Webshop.pdf
https://so.ch/fileadmin/internet/vwd/vwd-awjf-jagd/pdf/Fischerei/Anleitung_Patentbezug_Webshop.pdf",No,Yes,Webshop EFJ2,"Environment, agriculture and natural resources",solothurn,Webshop EFJ2,The page provides information on ordering fishing licenses for 2023 through the new Webshop EFJ2.,Announces a new webshop for ordering fishing permits online and provides PDF guides for registration and obtaining the permits.
https://so.ch/verwaltung/bau-und-justizdepartement/motorfahrzeugkontrolle/fuer-garagen-partner/prueftermin-reservieren/,PDF,https://so.ch/fileadmin/internet/bjd/bjd-mfk/dokumente/pdf/garagen/Bedienungsanleitung_Garagen.pdf,No,Yes,cari Online Dispo,Others,solothurn,cari Online Dispo,The page provides information for garage partners on how to reserve inspection appointments using the cari Online Dispo system.,"The page provides information on how to reserve vehicle inspection appointments online, specifically for garage partners. It includes a PDF guide for the process."
https://www.gl.ch/verwaltung/sicherheit-und-justiz/justiz/strassenverkehrsamt.html/1678/news/716/newsarchive/1,PDF,http://cms3-gl.backslash.ch/documents/Wegleitung_eCode_178.pdf,No,Yes,CLS-ZEK,Others,glarus,CLS-ZEK,The page provides guidelines for customers regarding the 'Code 178' which restricts the change of vehicle ownership.,"The page discusses the introduction of ""eCode 178"" for vehicle leasing and provides PDF forms for entry and deletion of the code."
