page_link;explanation;software_name
https://www.sozialhilfe.bs.ch/ueber-uns/Digitaler-Briefkasten/Anleitung-Digitaler-Briefkasten.html;The page provides instructions on how to use the digital mailbox service offered by Sozialhilfe Kanton Basel-Stadt.;Digitaler Briefkasten
https://www.polizei.bs.ch/verkehr/strassenverkehr/parkieren/parksmart-basel/faq.html;The page contains FAQs about the ParkSmart Basel app, which is used for parking fee payments in Basel.;ParkSmart Basel
https://www.itbs.bs.ch/dienstleistungen/egovernment/das-ekonto/faq-ekonto.html;The page contains FAQs about eKonto, a digital account service provided by IT BS for e-government services.;eKonto
https://www.itbs.bs.ch/dienstleistungen/egovernment/das-ekonto/ekonto-privat-tutorial.html;The page serves as a tutorial for private customers using eKonto, detailing various functionalities and settings.;eKonto
https://www.itbs.bs.ch/dienstleistungen/egovernment/das-ekonto/anleitung-ekonto.html;The page provides a step-by-step guide for registering and using eKonto, including how to set up 2-factor authentication.;eKonto
https://www.hochbau-gebaeudemanagement.bs.ch/richtlinien_vorlagen/cad.html;The page provides CAD guidelines and templates for architectural and building management projects.;CAD
https://www.geo.bs.ch/geodaten/geodienste/wfsbs/hilfe.html;The page provides instructions for integrating WFS services into various software platforms like QGIS, ArcGIS, and AutoCAD.;WFS, QGIS, ArcGIS, AutoCAD
https://www.geo.bs.ch/geodaten/geodienste/suchdienst/hilfe.html;The page provides guidance on using the search service of Geoportal BS, including how to query different layers and retrieve results in JSON format.;Geoportal BS Search Service
https://www.gd.bs.ch/dossiers-projekte/EPD-Eroeffnungen-im-GD-BS/Wie-eroeffne-ich-ein-EPD.html;Unfortunately, the content of the page could not be retrieved for analysis.;
https://www.bs.ch/publikationen/aue/CD-ROM-Entsorgung-medizinischer-Abfaelle.html;The page appears to be about a CD-ROM related to the disposal of medical waste, but no specific software or instructions are mentioned.;
https://www.awa.bs.ch/stellensuche-arbeitslosigkeit/jobroom-und-eservices.html;The page provides information on how job seekers and employers can use eServices and Jobroom for various employment-related tasks, including submitting documents and activating unemployment benefits.;eServices, Jobroom
https://www.itbs.bs.ch/dienstleistungen/egovernment/das-ekonto/ekonto-nutzungsbedingungen.html;The page outlines the terms and conditions for using eKonto, including user responsibilities and legal aspects.;eKonto
https://www.volksschulen.bs.ch/unterricht/digitalisierung_edubs-book.html;The page discusses the eduBS-Book, a digital device provided to students starting from the 5th grade, and includes FAQs and guidelines for its use.;eduBS-Book
