page_link;explanation;software_name
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/neues-smartphone.html;The page provides instructions on how to set up two-factor authentication on a new smartphone or tablet.;Microsoft Authenticator
https://www.hbav.dij.be.ch/de/start/hb-fachthemen/verifikation/standardverifikation-phase-b3.html;The page outlines the process and criteria for the standard verification phase B3 in land surveying and mapping.;Check-Service, VeriSO
https://www.hbav.dij.be.ch/de/start/hb-fachthemen/methoden/gnss.html;The page provides guidelines and instructions for the use of GNSS in land surveying and mapping.;
https://www.hbav.dij.be.ch/de/start/hb-fachthemen/auszuege-und-dokumente/foersterplan.html;The page provides guidelines for forest planning and mentions the use of specific software tools for data exchange and verification.;VeriSO, ESRI ShapeFiles
https://www.cyber.police.be.ch/de/start/informationen-fuer-gemeinden.html;The page offers information and recommendations on how municipalities can protect themselves from cyberattacks.;
https://www.cyber.police.be.ch/de/start/aktuelle-phaenomene/e-banking-trojaner.html;The page provides information on E-Banking Trojans and offers guidelines on how to protect against such attacks.;Anti-Viren-Software
https://www.bkd.be.ch/de/start/themen/bildung-im-kanton-bern/berufsbildung/berufslehre-betrieblich-organisiert/qualifikationsverfahren/pruefungsorganisation/qv-webportal.html;The page provides information about the QV Webportal, which is used by exam experts to manage their personal information, compensation, and expenses.;QV Webportal, PkOrg
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=95eed467-1dec-3c1d-888e-7e9713195120;The page discusses new services offered by the tax administration of the Canton of Bern, including TaxMe-Online Tour.;TaxMe-Online
https://www.agi.dij.be.ch/de/start/kataster/oereb-kataster/zugang-zu-oereb-informationen/geoportalkarte-oereb-kataster.html;The page provides information about the Geoportalkarte of the ÖREB-Kataster.;Geoportalkarte, ÖREB-Kataster
https://www.agi.dij.be.ch/de/start/kataster/grundstueckdaten-informationssystem-grudis.html;The page provides detailed information about GRUDIS, a land property data information system for the Canton of Bern.;GRUDIS
https://www.agi.dij.be.ch/de/start/dienstleistungen/check-service.html;The page provides information about various Check-Services offered by the Canton of Bern for verifying itf-Daten and other data related to land surveying and planning.;Check-Service amtliche Vermessung, CheckGWR, Check-Service Nutzungsplanung, Check-Service Planungszonen, ilivalidator
https://www.gsi.be.ch/de/start/themen/soziales/behinderung/blg/berner-modell.html;The page provides information about the Berner Modell, a system for supporting people with disabilities.;AssistMe
https://www.faechernet.bkd.be.ch/de/start/dienstleistungen/mathematik/unterricht/digitale-materialien.html;The page discusses the importance of selecting appropriate software for mathematics education.;PIKAS digi, Mathe Basteln
