page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.ur.ch/_rte/thema2/1576;No;No;No;N/A;Data retrieval incomplete.
https://www.ur.ch/_rte/link/1328;No;No;No;N/A;Data retrieval incomplete.
https://www.ur.ch/_rte/link/1680;No;No;No;N/A;Data retrieval incomplete.
https://www.ur.ch/_rte/information/102968;No;No;No;N/A;Information about maintenance work in the Gotthard tunnel.
https://www.ur.ch/_rte/dienst/3085;No;No;No;N/A;Information about educational and vocational training consultation services.
https://www.ur.ch/_rte/information/104974;No;No;No;N/A;Information about the commencement of construction work for the West-East Connection road.
https://www.ur.ch/_rte/dienst/3464;No;No;No;N/A;Information about building regulations outside of designated zones.
https://www.ur.ch/_rte/link/2827;No;No;No;N/A;Data retrieval incomplete.
https://www.ur.ch/_rte/information/99617;No;No;No;N/A;Information about a cultural event for school children in the Canton of Uri.
https://www.ur.ch/_rte/dienst/3206;No;No;No;N/A;Information about capital gains tax on real estate in the Canton of Uri.
