page_link;explanation;software_name
https://umwelt.tg.ch/abwasser-und-anlagensicherheit/abwasser/landwirtschaft-und-gewaesserschutz/hoduflu.html/12780;The page describes HODUFLU, a mandatory software program for recording farm manure flows in Switzerland.;HODUFLU
https://steuerverwaltung.tg.ch/informationen/faq/efisc-stuererklaerungssoftware.html/3827;The page provides FAQs and troubleshooting tips for the eFisc tax declaration software, including installation and application issues.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/formulare.html/10797/product/998;The page offers a downloadable guide for the 2022 tax declaration, but does not directly reference or link to a specific software.;
https://steuerverwaltung.tg.ch/hilfsmittel/formulare.html/10797/product/595;The page provides a downloadable guide for forms 17, 17a, 17b for the year 2011, without direct reference to any specific software.;
https://steuerverwaltung.tg.ch/hilfsmittel/formulare.html/10797/product/459;The page offers a brief overview guide for the 2017 tax declaration, but does not directly reference or link to a specific software.;
https://steuerverwaltung.tg.ch/hilfsmittel/formulare.html/10797/product/420;The page provides a downloadable guide for the questionnaire for farmers for the year 2020, without direct reference to any specific software.;
https://steuerverwaltung.tg.ch/hilfsmittel/formulare.html/10797/product/403;The page offers a downloadable guide for the 2020 tax declaration, but does not directly reference or link to a specific software.;
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2023.html/15273;The page lists the system requirements for the eFisc2023 tax declaration software for various operating systems.;eFisc2023
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2022.html/14115;The page lists the system requirements for the eFisc2022 tax declaration software for various operating systems.;eFisc2022
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2021.html/13118;The page lists the system requirements for the eFisc2021 tax declaration software for various operating systems.;eFisc2021
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2020.html/10906;The page lists the system requirements for the eFisc2020 tax declaration software for various operating systems.;eFisc2020
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2019.html/10121;The page lists the system requirements for the eFisc2019 tax declaration software for various operating systems.;eFisc2019
