page_link;explanation;software_name
https://so.ch/verwaltung/volkswirtschaftsdepartement/amt-fuer-landwirtschaft/spezialseiten/informationen-zu-den-neuen-direktzahlungsmassnahmen-ab-2023/;The page provides information and documents related to new agricultural subsidy measures starting in 2023.;
https://so.ch/verwaltung/finanzdepartement/steueramt/quellensteuer/quellensteuer/formulare-arbeitgebende/;The page contains forms and a guide for employers regarding the online payroll accounting for withholding tax.;Online Quellensteuerabrechnung
https://so.ch/verwaltung/finanzdepartement/steueramt/quellensteuer/;The page provides an overview of the withholding tax system for foreign workers in the canton, including regulations and FAQs.;
https://so.ch/verwaltung/finanzdepartement/steueramt/privatpersonen-und-selbstaendig-erwerbende/grundstueckgewinnsteuer/;The page offers a tax calculator for property gains tax and provides forms and guidelines for declaration.;Online Steuerrechner
https://so.ch/verwaltung/finanzdepartement/steueramt/privatpersonen-und-selbstaendig-erwerbende/formulare-np/steuererklaerung-2022/;The page provides forms and guidelines for the tax declaration of 2022 for individuals and self-employed persons.;
https://so.ch/verwaltung/finanzdepartement/steueramt/privatpersonen-und-selbstaendig-erwerbende/formulare-np/steuererklaerung-2021/;The page provides forms and guidelines for the tax declaration of 2021 for individuals and self-employed persons.;
https://so.ch/verwaltung/finanzdepartement/steueramt/privatpersonen-und-selbstaendig-erwerbende/formulare-np/steuererklaerung-2020/;The page provides forms and guidelines for the tax declaration of 2020 for individuals and self-employed persons.;
https://so.ch/verwaltung/finanzdepartement/steueramt/juristische-personen/formulare/formulare-vereine-stiftungen-uebrige/steuererklaerung-2022/;The page provides tax declaration forms and instructions for associations, foundations, and other legal entities for the year 2022.;
https://so.ch/verwaltung/finanzdepartement/steueramt/juristische-personen/formulare/formulare-vereine-stiftungen-uebrige/steuererklaerung-2021/;The page provides tax declaration forms and instructions for associations, foundations, and other legal entities for the year 2021.;
https://so.ch/verwaltung/finanzdepartement/steueramt/juristische-personen/formulare/formulare-vereine-stiftungen-uebrige/steuererklaerung-2019/;The page provides tax declaration forms and instructions for associations, foundations, and other legal entities for the year 2019.;
https://so.ch/verwaltung/finanzdepartement/steueramt/juristische-personen/formulare/formulare-vereine-stiftungen-uebrige/steuererklaerung-2017/;Content not available or inaccessible.;
https://so.ch/verwaltung/finanzdepartement/steueramt/juristische-personen/formulare/formulare-kapitalgesellschaften-genossenschaften/steuererklaerung-2022/;The page provides tax declaration forms and instructions for capital companies and cooperatives for the year 2022.;
