page_link,canton,page_content,software_name,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic
https://www.ag.ch/de/verwaltung/dvi/migration-integration/integration/programm-s,aargau,"Discusses integration measures for asylum seekers, including language courses and employment opportunities.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/natuerliche-personen/steuerarten/erbschafts-schenkungssteuern,aargau,Provides information on inheritance and gift taxes in the Kanton Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/juristische-personen/steuererklaerungen/steuererklaerungen-fruehere-perioden,aargau,"Provides tax forms and guidelines for legal entities, mentions eTAX AARGAU software for tax filing.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/natur-und-landschaftsschutz/aktiv-fuer-natur-und-landschaft/beitragswesen-naturschutz,aargau,Discusses funding mechanisms for natural and landscape conservation projects in Kanton Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/sk/wahlen-abstimmungen,aargau,"Discusses the preparation and distribution of voting materials, including the use of software for result calculation.",,,No,No,,
https://www.ag.ch/de/verwaltung/sk/recht/rechtsdienst/beschwerde,aargau,Provides information on the complaint procedure within the Canton of Aargau's administration.,,No,No,No,,
https://www.ag.ch/de/verwaltung/sk/recht/rechtsdienst,aargau,"The page provides information about the legal services offered by the Regierungsrat, including legal advice and legal care.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/unternehmen/arbeitnehmerschutz-im-betrieb/jugendarbeit,aargau,"The page outlines the regulations and guidelines for the protection of young workers in Switzerland, focusing on health and safety.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/unternehmen/arbeitnehmerschutz-im-betrieb/gesundheitsschutz,aargau,The page outlines the responsibilities of employers in protecting the health of their employees according to Swiss law.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/unternehmen/arbeitnehmerschutz-im-betrieb/arbeitssicherheit,aargau,Discusses work safety regulations and guidelines.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jugendarbeitslosigkeit/motivationssemester,aargau,"The page describes a program aimed at unemployed youth, offering education, work, and application training.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jugendarbeitslosigkeit/hilfe-bei-der-lehrstellensuche,aargau,Provides information on various services and programs to assist young people in finding apprenticeships.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jugendarbeitslosigkeit,aargau,"The page offers various measures to help young people enter the workforce, including projects for job search and motivational semesters.",,No,No,No,,
