page_link;explanation;software_name
https://so.ch/verwaltung/volkswirtschaftsdepartement/amt-fuer-wald-jagd-und-fischerei/fischerei/aktuell/aktuell/news/angelpatente-2023-bestellen-via-webshop-efj2/;The page provides information on ordering fishing licenses for 2023 through the new Webshop EFJ2.;Webshop EFJ2
https://so.ch/verwaltung/volkswirtschaftsdepartement/amt-fuer-landwirtschaft/boden-und-bodenrecht/ressourcenprogramm-humus/humusbilanz-tool/;The page describes the Humusbilanz-Tool developed by Agroscope for assessing soil quality in agriculture through humus balance calculations.;Humusbilanz-Tool
https://so.ch/verwaltung/finanzdepartement/steueramt/quellensteuer/quellensteuer/online-quellensteuer-abrechnung/;The page provides a guide for employers on how to complete and submit the withholding tax statement online.;Online Quellensteuer-Abrechnung
https://so.ch/verwaltung/finanzdepartement/steueramt/informationen/fuer-gemeinden/handbuch-fuer-steuerregisterfuehrer/;The page mentions the ongoing total revision of the manual for tax register managers, with reference to the new tax software NEST.;NEST
https://so.ch/verwaltung/finanzdepartement/steueramt/etax-solothurn/;The page provides information on eTax Solothurn, an online platform for filling and submitting tax declarations.;eTax Solothurn
https://so.ch/verwaltung/finanzdepartement/grundbuchaemter/elektronisches-grundbuch/;The page details the electronic land register and the application Intercapi, which provides access to land register data for authorized entities.;Intercapi
https://so.ch/verwaltung/departement-fuer-bildung-und-kultur/amt-fuer-berufsbildung-mittel-und-hochschulen/it-kompetenzzentrum-abmh/schulungsumgebung-etax/;The page introduces the eTax training environment, designed specifically for schools in the Canton of Solothurn to use as a training resource.;eTax Schulungsumgebung
https://so.ch/verwaltung/bau-und-justizdepartement/motorfahrzeugkontrolle/fuer-garagen-partner/prueftermin-reservieren/;The page provides information for garage partners on how to reserve inspection appointments using the cari Online Dispo system.;cari Online Dispo
https://so.ch/verwaltung/bau-und-justizdepartement/amt-fuer-umwelt/abfall-chemie/abfallwirtschaft/egi-entsorgungsgenehmigung-via-internet/;The page provides details on EGI, an online system for applying for waste disposal permits.;EGI
https://so.ch/verwaltung/finanzdepartement/steueramt/informationen/fuer-gemeinden/steuerabschluss-nest/;The page provides instructions and accounting guidelines for municipalities and church communities for the tax closing process using NEST.;NEST
https://so.ch/verwaltung/finanzdepartement/steueramt/etax-solothurn/haeufige-fragen/registrierung-anmeldung/;The page provides a guide on how to register and log in to eTax Solothurn, including steps for account creation and troubleshooting.;eTax Solothurn
https://so.ch/verwaltung/bau-und-justizdepartement/amt-fuer-geoinformation/geoportal/video-anleitungen/;The page offers video tutorials for using QGIS software, including data transformation and map creation techniques.;QGIS
https://so.ch/staatskanzlei/politische-rechte/fuer-gemeindeverwaltungen-muster-unterlagen/;The page provides templates and documents for municipal administrations to use for political rights activities, such as elections and voting, but does not link to or explain specific software.;
https://so.ch/staatskanzlei/eumzug/eumzug/verarbeitung-von-eumzuegen-im-system/;The page provides guidelines for municipalities on processing e-movement reports within the eUmzug system.;eUmzug
